speech_id,lang_rank,zero_shot,relative_speaker_position,bertscore,translated
CRE-20060404-ITEM-006_2-020,high,True,0.025,0.7626529901753747,False
CRE-20060404-ITEM-006_2-021,high,True,0.05,0.15821507954659275,False
CRE-20060404-ITEM-006_2-022,high,True,0.075,0.4778856118905572,False
CRE-20060404-ITEM-006_2-023,high,True,0.1,0.5353683293963639,False
CRE-20060404-ITEM-006_2-024,low,True,0.125,0.5721002890491765,False
CRE-20060404-ITEM-006_2-025,medium,True,0.15,0.6712312535668356,False
CRE-20060404-ITEM-006_2-026,medium,True,0.175,0.41277760136761843,False
CRE-20060404-ITEM-006_2-027,medium,True,0.2,0.5365262036158538,False
CRE-20060404-ITEM-006_2-028,low,True,0.225,0.09972243011777496,False
CRE-20060404-ITEM-006_2-029,medium,True,0.25,0.5418279828383911,False
CRE-20060404-ITEM-006_2-030,medium,True,0.275,0.6402602067497178,False
CRE-20060404-ITEM-006_2-031,high,True,0.3,0.5777594591129108,False
CRE-20060404-ITEM-006_2-032,high,True,0.325,0.1479575595809666,False
CRE-20060404-ITEM-006_2-033,low,True,0.35,0.13943605348166002,False
CRE-20060404-ITEM-006_2-034,medium,True,0.375,0.6625318124938923,False
CRE-20060404-ITEM-006_2-035,medium,True,0.4,0.38987975672855757,False
CRE-20060404-ITEM-006_2-036,medium,True,0.425,0.1651014549938983,False
CRE-20060404-ITEM-006_2-037,low,True,0.45,0.18071553786534614,False
CRE-20060404-ITEM-006_2-038,low,True,0.475,0.19585554252177162,False
CRE-20060404-ITEM-006_2-039,medium,True,0.5,0.42900091339296337,False
CRE-20060404-ITEM-006_2-040,medium,True,0.525,0.4306063838738147,False
CRE-20060404-ITEM-006_2-041,medium,True,0.55,0.11436018935009613,False
CRE-20060404-ITEM-006_2-042,medium,True,0.575,0.4527309243388598,False
CRE-20060404-ITEM-006_2-043,low,True,0.6,0.1367944833083596,False
CRE-20060404-ITEM-006_2-044,medium,True,0.625,0.6881248646781538,False
CRE-20060404-ITEM-006_2-045,low,True,0.65,0.7232175478460585,False
CRE-20060404-ITEM-006_2-046,low,True,0.675,0.3872294935141289,False
CRE-20060404-ITEM-006_2-047,low,True,0.7,0.16659127356145015,False
CRE-20060404-ITEM-006_2-048,high,True,0.725,0.10415491096974212,False
CRE-20060404-ITEM-006_2-049,medium,True,0.75,0.42836907436732596,False
CRE-20060404-ITEM-006_2-050,medium,True,0.775,0.1782408117080305,False
CRE-20060404-ITEM-006_2-051,medium,True,0.8,0.09255718436710023,False
CRE-20060404-ITEM-006_2-052,medium,True,0.825,0.5252806717347575,False
CRE-20060404-ITEM-006_2-053,medium,True,0.85,0.40100192326898926,False
CRE-20060404-ITEM-006_2-054,medium,True,0.875,0.42348214695188147,False
CRE-20060404-ITEM-006_2-055,medium,True,0.9,0.11510574854399779,False
